INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_OT;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_IP;
;problem_10_50_1_1_5.txt;50;159;0;50;159;0;50;159;0;50;159;0;50;159;0;50;159;0
;problem_10_50_1_2_5.txt;61;214;0;61;214;0;61;214;0;61;214;0;61;214;0;61;214;0
;problem_10_50_1_3_5.txt;100;184;0;121;199;0;121;199;0;121;199;0;121;199;0;121;199;0
;problem_10_50_1_4_5.txt;221;246;0;221;246;0;221;246;0;221;246;0;221;246;0;221;246;0
;problem_10_50_1_5_5.txt;242;213;0;242;213;0;242;213;0;242;213;0;242;213;0;242;213;0
;problem_10_50_2_1_5.txt;48;63;0;50;64;0;50;64;0;50;64;0;50;64;0;50;64;0
;problem_10_50_2_2_5.txt;30;45;0;61;79;0;61;79;0;61;79;0;61;79;0;61;79;0
;problem_10_50_2_3_5.txt;102;113;0;122;130;0;122;130;0;122;130;0;122;130;0;122;130;0
;problem_10_50_2_4_5.txt;185;195;0;228;233;0;226;233;0;228;233;0;228;233;0;226;233;0
;problem_10_50_2_5_5.txt;222;226;0;237;238;0;240;238;0;237;238;0;237;238;0;240;238;0
;problem_10_50_3_1_5.txt;43;73;0;49;79;0;49;79;0;49;79;0;49;79;0;49;79;0
;problem_10_50_3_2_5.txt;66;126;0;75;135;0;75;135;0;75;135;0;75;135;0;75;135;0
;problem_10_50_3_3_5.txt;112;182;0;112;182;0;112;182;0;112;182;0;112;182;0;112;182;0
;problem_10_50_3_4_5.txt;213;283;0;238;308;0;238;308;0;238;308;0;238;308;0;238;308;0
;problem_10_50_3_5_5.txt;197;287;0;200;290;0;200;290;0;200;290;0;200;290;0;200;290;0
;problem_10_50_4_1_5.txt;35;35;0;51;51;0;51;51;0;51;51;0;51;51;0;51;51;0
;problem_10_50_4_2_5.txt;50;50;0;79;79;0;79;79;0;79;79;0;79;79;0;79;79;0
;problem_10_50_4_3_5.txt;92;92;0;113;113;0;113;113;0;113;113;0;113;113;0;113;113;0
;problem_10_50_4_4_5.txt;229;229;0;238;238;0;238;238;0;238;238;0;238;238;0;238;238;0
;problem_10_50_4_5_5.txt;168;168;0;204;204;0;204;204;0;204;204;0;204;204;0;204;204;0
;problem_10_100_1_1_5.txt;86;198;0;86;198;0;86;198;0;86;198;0;86;198;0;86;198;0
;problem_10_100_1_2_5.txt;145;371;0;145;371;0;145;371;0;145;371;0;145;371;0;145;371;0
;problem_10_100_1_3_5.txt;321;323;0;342;324;0;342;324;0;342;324;0;342;324;0;342;324;0
;problem_10_100_1_4_5.txt;462;507;0;462;507;0;462;507;0;462;507;0;462;507;0;462;507;0
;problem_10_100_1_5_5.txt;433;481;0;433;481;0;433;481;0;433;481;0;433;481;0;433;481;0
;problem_10_100_2_1_5.txt;100;117;0;100;117;0;100;117;0;100;117;0;100;117;0;100;117;0
;problem_10_100_2_2_5.txt;82;94;0;146;159;0;146;159;0;146;159;0;146;159;0;146;159;0
;problem_10_100_2_3_5.txt;273;294;0;347;366;0;347;366;0;347;366;0;347;366;0;347;366;0
;problem_10_100_2_4_5.txt;441;481;0;459;497;0;459;497;0;459;497;0;459;497;0;459;497;0
;problem_10_100_2_5_5.txt;425;426;0;449;445;0;449;445;0;449;445;0;449;445;0;449;445;0
;problem_10_100_3_1_5.txt;91;141;0;101;141;0;91;141;0;101;141;0;101;141;0;91;141;0
;problem_10_100_3_2_5.txt;123;183;0;125;185;0;125;185;0;125;185;0;125;185;0;125;185;0
;problem_10_100_3_3_5.txt;188;248;0;238;298;0;238;298;0;238;298;0;238;298;0;238;298;0
;problem_10_100_3_4_5.txt;363;433;0;437;507;0;437;507;0;437;507;0;437;507;0;437;507;0
;problem_10_100_3_5_5.txt;421;501;0;495;575;0;495;575;0;495;575;0;495;575;0;495;575;0
;problem_10_100_4_1_5.txt;85;85;0;101;101;0;101;101;0;101;101;0;101;101;0;101;101;0
;problem_10_100_4_2_5.txt;117;117;0;129;129;0;129;129;0;129;129;0;129;129;0;129;129;0
;problem_10_100_4_3_5.txt;192;192;0;238;238;0;238;238;0;238;238;0;238;238;0;238;238;0
;problem_10_100_4_4_5.txt;429;429;0;437;437;0;437;437;0;437;437;0;437;437;0;437;437;0
